Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,3,3,Semi-Furnished,1125,Ready to Move,29,1650,East,2,"₹ 1,45,00,000","Ghodbuder Road, Thane, Maharashtra",3 Bds - 3 Ba - 1650 ft2
Apartments,2,2,Unfurnished,534,Under Construction,7,822,-,-,"₹ 32,88,000","Kasheli Village, Bhiwandi, Maharashtra",2 Bds - 2 Ba - 822 ft2
Apartments,1,1,Unfurnished,484,Under Construction,24,650,East,0,"₹ 59,90,000","Thane West, Thane, Maharashtra",1 Bds - 1 Ba - 650 ft2
Apartments,3,3,Unfurnished,771,Under Construction,7,1187,-,-,"₹ 47,48,000","Kopri Colony, Thane, Maharashtra",3 Bds - 3 Ba - 1187 ft2
Apartments,1,1,Unfurnished,330,Ready to Move,3,465,East,1,"₹ 18,00,000","Kalher Village, Bhiwandi, Maharashtra",1 Bds - 1 Ba - 465 ft2
Apartments,-,1,Unfurnished,280,Ready to Move,2,350,North-East,0,"₹ 15,00,000","Rutu Park, Thane, Maharashtra",-
Apartments,2,2,Semi-Furnished,698,Ready to Move,14,950,East,0,"₹ 1,35,00,000","Hiranandani Estate, Thane, Maharashtra",2 Bds - 2 Ba - 950 ft2
Apartments,1,2,Unfurnished,300,Ready to Move,4,400,-,-,"₹ 45,00,000","Samta Nagar, Thane, Maharashtra",1 Bds - 2 Ba - 400 ft2
Apartments,2,2,Unfurnished,611,Under Construction,7,941,-,-,"₹ 37,64,000","Kalher, Thane, Maharashtra",2 Bds - 2 Ba - 941 ft2
Apartments,1,1,Semi-Furnished,450,Ready to Move,-,585,-,-,"₹ 80,00,000","Thane East, Thane, Maharashtra",1 Bds - 1 Ba - 585 ft2
Apartments,2,2,Unfurnished,708,Under Construction,33,1000,East,1,"₹ 1,49,00,000","Kapurbawdi, Thane, Maharashtra",2 Bds - 2 Ba - 1000 ft2
Apartments,3,3,Semi-Furnished,1000,Ready to Move,25,1400,West,1,"₹ 1,40,00,000","Manpada, Thane, Maharashtra",3 Bds - 3 Ba - 1400 ft2
Apartments,1,1,Unfurnished,539,Ready to Move,3,539,-,0,"₹ 23,00,000","Kasheli, Thane, Maharashtra",1 Bds - 1 Ba - 539 ft2
Apartments,1,1,Unfurnished,425,New Launch,19,675,South-East,-,"₹ 39,00,000","Mumbra Bypass Rd, Thane, Maharashtra",1 Bds - 1 Ba - 675 ft2
Apartments,-,1,Unfurnished,225,Ready to Move,5,250,East,3+,"₹ 23,00,000","Wagle Estate, Thane, Maharashtra",-
Apartments,1,1,Unfurnished,560,Ready to Move,6,560,West,0,"₹ 11,00,000","Mumbra Bypass Rd, Thane, Maharashtra",1 Bds - 1 Ba - 560 ft2
Apartments,1,1,Semi-Furnished,511,Ready to Move,3,730,East,0,"₹ 18,99,999","Kasheli Village, Bhiwandi, Maharashtra",1 Bds - 1 Ba - 730 ft2
Apartments,2,2,Unfurnished,600,Under Construction,50,950,East,1,"₹ 1,10,00,000","Kolshet Road, Thane, Maharashtra",2 Bds - 2 Ba - 950 ft2
Apartments,1,2,Unfurnished,485,Ready to Move,13,650,East,1,"₹ 70,00,000","Manpada, Thane, Maharashtra",1 Bds - 2 Ba - 650 ft2
Apartments,1,2,Unfurnished,403,Under Construction,7,621,-,-,"₹ 24,84,000","Kapurbawdi, Thane, Maharashtra",1 Bds - 2 Ba - 621 ft2
Apartments,1,2,Unfurnished,478,Under Construction,7,736,-,-,"₹ 29,44,000","Kalher Village, Bhiwandi, Maharashtra",1 Bds - 2 Ba - 736 ft2
Apartments,2,2,Semi-Furnished,560,Ready to Move,3,650,North,-,"₹ 78,00,000","Vasant Vihar, Thane, Maharashtra",2 Bds - 2 Ba - 650 ft2
Apartments,2,2,Semi-Furnished,589,Ready to Move,20,890,North,1,"₹ 96,00,000","Majiwada, Thane, Maharashtra",2 Bds - 2 Ba - 890 ft2
Apartments,2,2,Unfurnished,655,Ready to Move,2,780,East,1,"₹ 32,00,000","Thane West, Thane, Maharashtra",2 Bds - 2 Ba - 780 ft2
Apartments,1,2,Furnished,500,Ready to Move,19,750,West,1,"₹ 65,00,000","Kolshet Road, Thane, Maharashtra",1 Bds - 2 Ba - 750 ft2
