Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,2,2,Semi-Furnished,900,Ready to Move,4,1080,East,1,"₹ 30,00,000","Ghodasar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1080 ft2
Apartments,1,1,Unfurnished,0,Ready to Move,2,65,East,0,"₹ 17,00,000","Khadia, Ahmedabad, Gujarat",1 Bds - 1 Ba - 65 ft2
Apartments,1,1,Semi-Furnished,642,Ready to Move,4,642,East,-,"₹ 23,00,000","Bhavan Society, Ahmedabad, Gujarat",1 Bds - 1 Ba - 642 ft2
Houses & Villas,2,2,Unfurnished,30,Ready to Move,0,30,-,0,"₹ 15,00,000","Dani Limda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 30 ft2
Houses & Villas,2,2,Unfurnished,599,Ready to Move,2,1184,East,1,"₹ 77,00,000","Bapu Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1184 ft2
Houses & Villas,3,3,Unfurnished,1908,Ready to Move,1,2925,East,1,"₹ 4,00,00,000","Usmanpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2925 ft2
Apartments,3,3,Semi-Furnished,1530,Ready to Move,10,1800,East,1,"₹ 90,00,000","Ambavadi, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1800 ft2
Apartments,3,3,Semi-Furnished,1495,Ready to Move,4,1495,-,1,"₹ 65,00,000","Navrangpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1495 ft2
Apartments,2,1,Unfurnished,10,Under Construction,2,10,East,0,"₹ 14,50,000","Shahpur, Ahmedabad, Gujarat",2 Bds - 1 Ba - 10 ft2
Apartments,3,3,Furnished,1350,Ready to Move,07,2079,North,1,"₹ 1,60,00,000","Navrangpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2079 ft2
Apartments,2,2,Furnished,700,Ready to Move,7,1170,-,1,"₹ 40,00,000","New Maninagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1170 ft2
