Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Builder Floors,3,2,Semi-Furnished,750,Ready to Move,4,780,East,1,"₹ 34,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 780 ft2
Houses & Villas,4,4,Semi-Furnished,2700,Under Construction,3,2700,North-East,2,"₹ 1,84,00,000","Ashok Nagar, Delhi, Delhi",4 Bds - 4 Ba - 2700 ft2
Builder Floors,1,1,Furnished,2500,Ready to Move,4,2500,-,-,"₹ 32,00,000","Rohini Sector 1, Delhi, Delhi",1 Bds - 1 Ba - 2500 ft2
Builder Floors,3,2,Semi-Furnished,870,New Launch,4,900,-,1,"₹ 59,50,000","Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 900 ft2
Builder Floors,3,3,Semi-Furnished,1450,Ready to Move,4,1500,North-East,1,"₹ 2,10,00,000","Rajouri Garden, Delhi, Delhi",3 Bds - 3 Ba - 1500 ft2
Builder Floors,1,1,Semi-Furnished,40,New Launch,3,40,South-East,0,"₹ 50,00,000","Pitampura, Delhi, Delhi",1 Bds - 1 Ba - 40 ft2
Builder Floors,2,2,Semi-Furnished,580,Ready to Move,4,600,East,1,"₹ 26,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 600 ft2
Apartments,2,2,Unfurnished,450,Ready to Move,-,450,-,1,"₹ 10,00,000","Krishan Vihar, Delhi, Delhi",2 Bds - 2 Ba - 450 ft2
Builder Floors,2,2,Semi-Furnished,902,Ready to Move,4,900,-,1,"₹ 45,50,000","Tilak Nagar, Delhi, Delhi",2 Bds - 2 Ba - 900 ft2
Builder Floors,3,2,Semi-Furnished,1150,Ready to Move,3,1200,North-West,1,"₹ 1,30,00,000","Vikaspuri, Delhi, Delhi",3 Bds - 2 Ba - 1200 ft2
Builder Floors,2,2,Semi-Furnished,515,Ready to Move,4,525,West,0,"₹ 25,50,000","Hastsal, Delhi, Delhi",2 Bds - 2 Ba - 525 ft2
